country_name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Tanzania,64.96221872422663,65.17132568359375,67.73788070678705,69.67662048339855,71.10443496704104,71.94886016845705,72.19533157348656,69.21733093261705,68.27397540106455,64.97447517353329,63.43697424634125,61.831156569932205,58.5828629913238,55.330839162627655,55.19718865303855,57.22306486487265,60.5627098336073,62.4691777160316,63.2999150803023,62.0061115220391,58.0819740300519
Burkina Faso,51.77395653724669,29.568234920501702,32.4327449798584,35.20219564437865,37.448145866394,40.7818737030029,44.9227313995361,47.89477920532225,49.09015560150145,51.7409734725952,53.88164615631105,55.708571434020946,57.3152093887329,59.26863861083985,61.3991584777832,63.5525665283203,65.77062797546385,65.1141872406006,63.63840484619139,62.7074317932129,58.0408535003662
Eswatini,70.65397644042966,70.65397644042966,75.610631942749,78.3942794799807,83.3386077880858,86.9931755065918,87.93206024169932,88.87094497680684,94.4877738952639,95.91813278198225,97.4040451049805,98.8597908020019,100.91419982910159,102.34819793701189,104.57677078247079,103.96993255615229,103.7594947814943,103.4193229675293,103.4193229675293,103.4193229675293,103.4193229675293
Uruguay,108.09419136047359,110.4295806884765,109.673610687256,106.8673400878905,107.0032501220705,102.04816055297829,99.4823188781737,100.05648803710929,104.32039260864275,106.131778717041,106.379726409912,107.185676574707,107.964588165283,108.6418838500975,110.057434082031,111.809688568115,111.5223541259765,112.1013412475585,111.1142196655275,114.1136474609375,114.9803466796875
Chile,99.87840595245362,95.8413734436037,98.32149124145495,98.67753219604485,98.83277511596705,99.03403854370106,99.20793914794905,97.8118247985838,97.1094398498535,97.07655334472639,96.43646240234395,100.6184883117677,100.89815521240214,101.3170928955075,101.53666305542001,101.84555053710949,102.3555335998535,102.79948806762701,101.69804382324236,103.01937484741225,103.13029861450201
Cuba,98.55174465179437,97.41571044921855,97.30022811889626,97.8982505798338,98.15837478637705,97.706359863281,97.0894699096678,96.6296844482423,96.5104942321775,96.11077880859355,95.63046646118161,95.68968582153346,99.45973968505879,99.5434646606447,100.2367935180666,100.56179046630835,100.670600891113,101.03533172607399,101.564208984375,100.05170822143546,101.7717514038086
Mozambique,53.5910310745239,53.5910310745239,53.5910310745239,58.2041902542114,60.5424842834474,65.08045482635521,68.46270847320575,70.04785823822004,71.59542083740214,70.0756635665892,69.40405559539795,74.51846504211424,74.13102531433094,74.63587951660145,70.8182898289997,74.50972557067871,73.21333152705125,75.50452471808094,80.7297072587279,75.2864926275995,79.5349104719404
Peru,100.49264392852784,96.61064529418951,97.92522811889654,98.27276229858415,99.6554756164551,101.25486755371091,100.51772308349604,102.05960464477535,103.30858230590795,102.70577239990234,99.05543136596695,102.11404037475549,99.8936042785642,99.6437950134277,100.73107528686549,99.11553192138675,98.82120895385745,100.09455108642595,102.03833007812514,102.64202117919905,103.3926277160646
Dominican Republic,88.6764673233032,92.28527450561529,88.3028831481933,89.39871597290019,89.4133663177489,96.79910659790059,94.14113998413065,96.2639350891114,94.2348976135253,93.8139533996582,93.22756195068379,94.349868774414,94.08954620361335,95.97568893432604,95.39967346191395,93.98006057739275,93.03716278076169,97.09492492675784,92.9848251342772,86.28747177124026,88.51030349731451
Ethiopia,40.32656097412105,40.32656097412105,42.9275999069214,49.943990707397454,54.33345985412595,59.0846633911133,62.8396577835083,62.53977203369145,62.3928219059642,64.33341026306155,64.94667583786405,65.81608411607888,66.09859211813587,65.9930733304203,67.76424000456977,69.53540667871926,69.53540667871926,72.1238189396525,74.71223120058575,68.77335832128475,60.1992032662572
Ghana,54.96474456787105,54.96474456787105,58.3030605316162,62.6397609710693,65.8144359588623,70.14151954650879,73.70906257629395,73.71399307250975,75.56698641363037,77.419979754751,79.30658095643454,84.431239117776,80.73953729047345,84.5492204023614,83.78679677102545,82.71599578857419,82.5344696044922,84.49253845214845,85.07292938232419,86.60895538330075,86.6581268310547
Colombia,102.8952713012693,102.8952713012693,102.8952713012693,105.5011444091797,107.4535789489744,109.2408332824705,110.3577270507812,113.2175292968751,112.1647529602053,111.51855087280299,107.9363288879393,108.5931167602539,106.72169494628926,106.5855979919436,106.92938995361345,106.2623558044432,106.03625869750951,105.6724281311035,104.2915687561035,104.7381782531735,103.202121734619
Costa Rica,96.79413604736305,96.79413604736305,96.79413604736305,96.49773406982425,100.63985443115254,100.7431678771971,101.7357444763184,105.6844444274904,106.68666076660175,107.17221832275399,108.16876602172849,110.19850921630851,112.0810394287105,112.323886871338,113.510856628418,115.21926116943351,118.576099395752,123.95372390747099,122.849838256836,125.0275115966795,120.38523101806649
Uganda,77.09783172607429,77.09783172607429,72.7991409301758,69.65366363525379,70.2398815155031,71.11975479125991,72.6621551513674,74.0464546524931,73.4161171602113,69.20030400222736,69.1781385740639,69.31079156330475,69.84205977764739,65.12908242920163,66.12045920808985,64.76332803947714,64.76332803947714,64.76332803947714,64.76332803947714,64.76332803947714,64.76332803947714
Rwanda,68.373604774475,68.373604774475,73.38143157959004,77.28738021850566,83.1233873367307,87.6005048751829,88.41299724578866,91.58403873443605,93.85935211181666,95.3753242492676,96.517297744751,77.63592052459705,90.0688400268557,88.32654762268061,89.56313323974629,89.50058174133325,89.15452003479015,91.04899024963365,94.3359069824217,97.62282371520975,96.45359802246085
Guyana,89.62602615356445,89.62602615356445,92.00797080993652,94.3899154663086,93.6474781036378,92.905040740967,94.16891479492185,94.8337173461914,98.0236358642576,103.9474411010745,104.416179656982,100.1782261240946,98.7594037363292,98.3979705963382,97.34029518453164,97.62598217087799,97.91166915722434,92.4818133268101,92.1835823059082,92.6194305419922,92.6194305419922
Panama,84.95704547462594,87.82264328002924,88.58367538452126,88.19461441040056,88.4487304687498,89.28908538818351,89.2205505371092,89.00595092773429,89.2525329589844,88.6027259826662,88.98348617553692,89.54153442382815,87.7923278808594,86.510799407959,88.06591033935544,85.7579345703125,87.8049491043356,84.9985809326172,87.0777431488562,91.8043701172924,91.8743125916579
World,87.35583667755132,82.30852508544915,83.20285415649406,83.84521865844715,84.4128608703612,85.6443786621094,86.5185127258301,86.9326248168948,87.65206527709981,88.28617477417005,88.65786743164091,89.385410308838,89.1504669189454,88.86565399169935,89.47952651977555,89.09912109375,88.04588317871105,88.23434066772475,88.71974945068371,89.01356506347635,89.6619338989258
Cabo Verde,90.19627380371115,90.19627380371115,88.94549560546889,90.0534324645994,95.69505310058585,94.5694656372072,95.13347244262675,94.3332176208495,95.35827255249025,95.6918296813964,95.94038391113276,97.2706832885741,95.88984298706049,94.6776885986329,93.7283935546875,92.6671371459961,90.94278717041016,90.54911422729495,91.6534996032715,91.4467010498047,91.4467010498047
Mauritius,93.88147735595689,93.88147735595689,94.0997390747068,95.3638343811036,94.1456756591799,93.7795486450197,93.70823669433574,93.56778335571265,93.7504692077639,94.37450408935524,95.7381706237793,95.92885971069335,97.18142318725585,95.64445877075201,95.57892608642581,94.5094795227051,93.93326950073245,94.27928924560544,92.2541961669922,94.69400787353516,94.69400787353516
