country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,avg_growth_20yr,country_code
Guyana,-0.663450848034557,1.58178359408005,-1.85867875493553,5.31564583896002,7.45279543337966,2.0751354960645,4.01036543277935,4.6015377876125,5.71952598277396,5.31368844499742,3.1743781661838,1.18626266545785,0.165185136879359,3.25278592612473,3.1684214177762,1.48098651471342,3.60666036626233,43.7587992099722,18.9089817486352,62.5993492898276,8.742507942475504,GUY
Ethiopia,-4.9635486109287,10.3567353804701,8.68819314738802,7.74559571884001,8.32283205867725,7.6878600799579,5.79455379589757,9.4198734285809,8.0541204807153,5.61865391933833,7.58309892413058,7.31454492337771,7.45669509715687,6.50121149670628,6.62278907050467,3.99844025588089,5.52381056763929,3.28084798420211,2.92580454535896,2.67756191274128,6.030483708831766,ETH
Rwanda,-0.131812109558581,4.71181205566151,6.53694566834675,6.35481700874139,4.77266069933427,8.21997789894695,3.47942261367089,4.57249024307988,5.22392901744348,6.00169965410731,2.257665757795,3.67276990524657,6.29032810378693,3.4132461314237,1.37389802841599,5.9059630075101,6.86176122901128,-5.66201158935542,8.25962652732505,5.68623242423337,4.390071113758321,RWA
Panama,2.22010714937244,5.4765050328899,5.16289682608576,6.6299318529818,9.92676585437539,7.85477428624614,-0.579348337851414,3.95086668478952,9.35039187358045,7.84339403957495,5.03825468082428,3.24983013684663,3.90792888074709,3.14843275886638,3.79367797647103,1.96303772715136,1.6401875183941,-18.8543822302115,14.3217931852755,9.36878285347336,4.2706914374941585,PAN
Dominican Republic,-2.72546246439585,1.17190849929456,7.97583136812364,7.77030734946598,6.0674209435771,1.90090507952465,-0.362882607935276,6.92448431266428,1.80067136186146,1.41538869475441,3.57246478499704,5.74838146329969,5.65574224309763,5.42560152292837,3.49047723780494,5.80704982687432,3.92893172690793,-7.71905867915002,11.0782763208364,3.82225610535107,3.637434754494116,DOM
Peru,3.07584218086193,3.94011215959908,5.32837924683271,6.64304687824702,7.68626409527067,8.34694304031613,0.387889020776356,7.51616967333678,5.43211009632483,5.1697619045632,4.83334779976734,1.31920125652192,2.04895673228597,2.54786708172743,0.985513944113038,2.03724979302511,0.306641968886368,-12.2166865947607,11.9743591934842,1.7174898997512,3.4540229685465293,PER
Ghana,2.3828249421414,2.81890927634004,3.12030742525397,3.62857797033644,1.66321253085184,6.37791278002531,2.21956802326369,5.26723802894486,11.3000726943874,6.6363517017998,4.71277222596768,0.40940094711712,-0.265332917264004,0.983231574681142,5.73907811296539,3.96954738010722,4.30597775008748,-1.5416365263868,2.98783641242667,1.82389128548645,3.426987080926655,GHA
Uruguay,0.690750521011083,4.89011911625813,7.33497604892166,3.95391078742402,6.33765562484871,6.93600335053371,3.99318432319997,7.53025567048368,4.88102387235121,3.24652646444873,4.32661364111881,2.9197296574484,0.0416798769461195,1.36367741460649,1.48963768853973,0.0229977956802401,0.888322576588905,-7.39838466784262,5.64896088197078,4.81328659416214,3.195546361934994,URY
Mauritius,5.16167044757961,3.67780930188448,1.17669908705346,4.37758682090856,5.24649696534381,5.00653905530841,3.04110046320396,4.12919884822152,3.91100124069837,3.20949947880025,3.11040555437714,3.63919007388208,3.55335696562737,3.79113070734437,3.84430800639895,3.9500354872734,2.85812532389771,-14.5484955921362,3.37766873430745,9.20854553289617,3.086093625143544,MUS
Cabo Verde,2.68811694706557,8.72636817099841,5.55790273298587,6.67270905062519,13.8360549022896,5.86382557430392,-2.51636697509916,0.747349442484108,2.68180836295369,-0.117356982672689,-0.500286991464364,-0.434814396432671,-0.177226393370418,3.11762874056225,3.33731043975473,2.57258287315263,5.86765383506491,-21.5678092154403,6.07137981777093,16.404766389666,2.9415798162599103,CPV
Tanzania,3.87698663356144,4.63129002521421,4.54244130449617,3.58939156127394,3.81932193352354,2.84601150930087,2.67129017690971,3.62505034269054,4.64928619935377,1.50934874666515,3.61664354884981,3.47055315099234,2.68536728529934,3.23214355083614,3.24006236069334,2.1743589821609,2.66781708219399,-1.01958280878104,1.24780243811844,1.53475358630961,2.9305168804831108,TZA
Cuba,3.52243390954436,5.52482706066367,10.9957882455721,11.9213996513492,7.1740326579004,4.05476387695902,1.39217817327636,2.32476685109735,2.72684625087871,2.91852839958906,2.63607524929792,0.954420824338413,4.36587075905668,0.494073392258642,1.8601470216456,2.32160916364217,-0.0612185571724808,-10.8230104813757,1.65241614088968,2.17589201000369,2.9065920299707426,CUB
Mozambique,4.46942343287198,5.4155443124279,3.59412601253256,7.12862473263326,4.89479579600078,4.11352006345244,3.13829580890182,3.73431355081691,4.03778569067535,4.78747235869217,3.34655185505068,4.44745201097221,4.17432297357378,1.47158575392668,-0.497934417344908,0.479843610095614,-0.593438075045455,-4.04764247977863,-0.491286747430209,1.5349033903975,2.756912981671122,MOZ
Uganda,3.2022849844132,3.69364648180827,3.2867677650199,7.60195955892391,5.27829822722869,5.57304428081009,3.73251033971526,2.60254456147564,6.25729837900512,0.875761039192426,0.649426228181824,2.03158558617645,1.98592377035136,1.34418674739261,-0.412239332308602,2.74903046108834,2.88570892180931,-0.423316496776323,0.264400771937062,1.49837165050579,2.7338596962975164,UGA
Costa Rica,2.67377602698802,2.84845798619627,2.45679896896107,5.79983828152986,6.70775526645618,3.29801133330045,-2.20305716727071,4.01263887146661,3.11652611610467,3.62781247373715,1.31951278902569,2.41456400701435,2.57317861070491,3.15151339047799,3.14326598585389,1.66130830846163,1.53529056591222,-4.99410158295288,7.28965011679902,4.00920256542521,2.72209714570958,CRI
Colombia,2.39044804171908,3.83937816611186,3.40689564758681,5.33972344422868,5.42284761879293,2.08424236302407,0.00166227940896135,3.32373450571197,5.78469976561988,2.83788902621922,4.09826590865887,3.51395347912819,1.9906164936335,1.0022727252119,-0.161953874918439,0.638439615993107,1.31495237842461,-8.54039537725433,9.54105155997694,6.54956011610601,2.7189141941691912,COL
"Congo, Dem. Rep.",2.51486599529831,3.60340242039344,2.87952826492376,2.01714835146625,2.89701425289677,2.88074155786697,-0.378462199545467,3.68616011560268,3.3518213098954,3.5520187670967,4.84597948310662,5.76218155439751,3.35308434739035,-1.08899602387746,0.216643094607846,2.41383997494529,1.11096627392817,-1.49268942736806,2.83237932472882,5.49632833527404,2.5226977886513966,COD
Burkina Faso,4.50716331077845,1.25080372415214,5.29343297349088,2.98669213366389,1.00130262746538,2.7310856339255,-0.012474271014014,5.30514455524253,3.50270659412131,3.273591495689,2.65729533056167,1.26399638537625,0.877785604827011,2.89349832690679,3.20325683612816,3.69351332759673,3.06445360445527,-0.695533986809409,4.14209565975429,-0.794519873177506,2.507264499656716,BFA
Chile,3.63156646701455,5.61634007452696,4.80751806301836,5.01599112354818,4.14200232075726,2.75580095959636,-2.1283005713077,4.78894268723008,5.17603699803075,5.12573837988386,2.31640011770726,0.772927820327766,1.10575838093806,0.550297851444384,-0.213266442244986,2.13907818098535,-1.15233722364255,-7.41187882968487,10.2323992648849,1.48321236604264,2.437711399452831,CHL
Eswatini,3.09649853377074,2.94651490452893,5.39337214116568,5.41693435133843,3.8310229235741,0.279382179407264,1.09974900839312,3.31872245454383,1.74301022805365,4.82073687005895,3.22271454579,0.246802469436361,1.49985760265459,0.302953769282354,1.2409471862878,1.5827075461722,1.88572411932168,-2.48029970534307,9.60533016098344,-0.310113436745482,2.4371283926337286,SWZ
